iter	Passed	Remaining
161	204	1059
162	205	1054
163	205	1049
164	206	1044
165	206	1039
166	207	1034
167	207	1029
168	208	1024
169	208	1019
170	209	1015
171	209	1010
172	210	1005
173	210	1000
174	211	996
175	211	991
176	212	987
177	212	982
178	213	978
179	214	975
180	214	969
181	214	965
182	215	961
183	215	957
184	216	952
185	216	948
186	217	944
187	217	940
188	218	936
189	218	932
190	219	928
191	219	924
192	220	920
193	220	916
194	221	913
195	221	909
196	222	904
197	222	901
198	222	897
199	223	893
200	223	889
201	224	886
202	224	882
203	225	879
204	225	875
205	226	872
206	226	869
207	227	866
208	227	862
209	228	859
210	228	856
211	229	852
212	229	849
213	230	846
214	230	843
215	231	839
216	231	836
217	232	833
218	232	830
219	233	827
220	233	824
221	234	821
222	234	818
223	235	814
224	235	811
225	236	808
226	236	805
227	237	802
228	237	799
229	238	796
230	238	794
231	239	791
232	239	788
233	240	785
234	240	782
235	240	779
236	241	777
237	241	774
238	242	771
239	242	768
240	243	766
241	243	763
242	244	761
243	244	758
244	245	755
245	245	753
246	246	750
247	246	748
248	247	745
249	247	743
250	248	740
251	248	738
252	249	735
253	249	732
254	250	730
255	250	728
256	251	725
257	251	723
258	251	720
259	252	718
260	252	716
261	253	713
262	253	711
263	254	709
264	254	706
265	255	704
266	255	702
267	256	699
268	256	697
269	257	695
270	257	693
271	258	691
272	258	688
273	259	686
274	259	684
275	260	682
276	260	679
277	260	677
278	261	675
279	261	673
280	262	671
281	262	669
282	263	667
283	263	665
284	264	663
285	264	661
286	265	658
287	265	657
288	266	655
289	266	653
290	267	651
291	267	649
292	268	647
293	268	645
294	269	643
295	269	641
296	270	639
297	270	637
298	271	635
299	271	634
300	272	632
301	272	630
302	273	628
303	273	626
304	274	624
305	274	623
306	275	621
307	275	619
308	276	617
309	276	615
310	277	613
311	277	611
312	277	610
313	278	608
314	278	606
315	279	604
316	279	602
317	280	601
318	280	599
319	281	597
320	281	595
321	282	594
322	282	592
323	283	590
324	283	589
325	284	587
326	284	585
327	285	584
328	285	582
329	286	580
330	286	579
331	287	577
332	287	575
333	287	574
334	288	572
335	288	570
336	289	569
337	289	567
338	290	566
339	290	564
340	291	563
341	291	561
342	292	559
343	292	558
344	293	556
345	293	555
346	294	553
347	294	552
348	295	550
349	295	548
350	296	547
351	296	545
352	296	544
353	297	542
354	297	541
355	298	539
356	298	538
357	299	536
358	299	535
359	300	533
360	300	532
361	301	530
362	301	529
363	301	527
364	302	526
365	302	524
366	303	523
367	303	521
368	304	520
369	304	518
370	305	517
371	305	516
372	306	514
373	306	513
374	307	511
375	307	510
376	307	508
377	308	507
378	308	506
379	309	504
380	309	503
381	310	501
382	310	500
383	311	499
384	311	498
385	312	496
386	312	495
387	313	494
388	313	492
389	314	491
390	314	490
391	315	488
392	315	487
393	316	486
394	316	485
395	317	483
396	317	482
397	318	481
398	318	479
399	318	478
400	319	477
401	319	475
402	320	474
403	320	473
404	321	472
405	321	470
406	322	469
407	322	468
408	323	467
409	323	465
410	324	464
411	324	463
412	325	462
413	325	460
414	326	459
415	326	458
416	327	457
417	327	456
418	328	454
419	328	453
420	328	452
421	329	451
422	329	450
423	330	448
424	330	447
425	331	446
426	331	445
427	332	444
428	332	442
429	333	441
430	333	440
431	334	439
432	334	438
433	335	436
434	335	435
435	336	434
436	336	433
437	336	432
438	337	431
439	337	430
440	338	428
441	338	427
442	339	426
443	339	425
444	340	424
445	340	423
446	341	422
447	341	421
448	342	419
449	342	418
450	343	417
451	343	416
452	344	415
453	344	414
454	345	413
455	345	412
456	345	411
457	346	410
458	346	408
459	347	407
460	347	406
461	348	405
462	348	404
463	349	403
464	349	402
465	350	401
466	350	400
467	351	399
468	351	398
469	352	397
470	352	396
471	353	395
472	353	394
473	354	393
474	354	391
475	355	390
476	355	389
477	356	388
478	356	387
479	356	386
480	357	385
481	357	384
482	358	383
483	358	382
484	359	381
485	359	380
486	360	379
487	360	378
488	361	377
489	361	376
490	362	375
491	362	374
492	363	373
493	363	372
494	363	371
495	364	370
496	364	369
497	365	368
498	365	367
499	366	366
500	366	365
501	367	364
